종목코드,종목명,시가총액
73190,듀오백,"54,454,582,000"
176750,듀켐바이오,"95,230,885,250"
30350,드래곤플라이,"40,287,910,515"
203650,드림시큐리티,"279,849,819,620"
223250,드림씨아이에스,"90,934,512,500"
60570,드림어스컴퍼니,"336,041,695,770"
192650,드림텍,"776,989,924,900"
217620,디딤,"77,062,914,240"
187870,디바이스이엔지,"277,242,394,600"
66670,디스플레이텍,"94,768,024,260"
24090,디씨엠,"187,200,000,000"
3160,디아이,"253,549,119,250"
92200,디아이씨,"245,386,870,390"
110990,디아이티,"207,900,000,000"
263690,디알젬,"160,823,662,000"
214680,디알텍,"97,341,558,225"
263720,디앤씨미디어,"545,014,928,400"
109740,디에스케이,"166,501,961,340"
33430,디에스티,"27,363,736,280"
131030,디에이치피코리아,"138,481,702,920"
196490,디에이테크놀로지,"139,654,770,000"
66900,디에이피,"94,730,854,995"
127120,디엔에이링크,"74,509,330,140"
92070,디엔에프,"272,812,339,800"
134580,디엠티,"37,350,000,000"
39840,디오,"643,453,302,900"
13570,디와이,"163,708,117,260"
210540,디와이파워,"187,709,036,000"
104460,디와이피엔에프,"301,588,543,750"
79810,디이엔티,"86,434,375,170"
227100,디자인,"55,600,239,100"
113810,디젠스,"31,942,861,929"
43360,디지아이,"29,790,000,000"
197140,디지캡,"60,250,176,000"
106520,디지탈옵틱,"88,080,911,560"
68930,디지털대성,"258,300,729,300"
33130,디지틀조선,"152,172,594,700"
105740,디케이락,"105,623,900,000"
263020,디케이앤디,"81,513,621,000"
290550,디케이티,"181,500,892,650"
7340,디티알오토모티브,"416,750,008,500"
187220,디티앤씨,"80,491,416,880"
26890,디피씨,"606,417,446,250"
163430,디피코,"55,277,886,400"
131180,딜리,"60,020,750,000"
317120,라닉스,"108,568,125,000"
42510,라온시큐어,"210,856,822,840"
232680,라온테크,"102,850,405,250"
300120,라온피플,"251,383,928,400"
171120,라이온켐텍,"209,718,693,600"
69540,라이트론,"141,255,801,520"
285770,라이프사이언스테크놀로지,"7,569,386,300"
347700,라이프시맨틱스,"109,799,504,500"
214260,라파스,"289,404,344,200"
115390,락앤락,"726,204,640,600"
200350,래몽래인,"108,250,862,300"
171010,램테크놀러지,"82,177,333,440"
84650,랩지노믹스,"278,237,357,100"
217500,러셀,"165,740,520,000"
92590,럭스피아,"34,997,270,400"
33600,럭슬,"9,456,230,437"
141080,레고켐바이오,"1,282,962,581,600"
60300,레드로버,"48,840,480,210"
38390,레드캡투어,"228,909,642,000"
294140,레몬,"328,190,000,000"
228670,레이,"401,857,326,800"
228850,레이언스,"232,274,196,000"
281740,레이크머티리얼즈,"288,557,105,720"
277810,레인보우로보틱스,"396,119,503,700"
179720,렌딩머신,"4,065,452,000"
215100,로보로보,"80,626,996,620"
90360,로보스타,"268,125,000,000"
238500,로보쓰리,"32,879,391,390"
108490,로보티즈,"182,266,200,000"
900260,로스웰,"51,891,937,500"
67730,로지시스,"87,548,994,100"
