날짜,종가,오픈,고가,저가,거래량,변동 %
2021년 06월 01일,4.6615,4.6945,4.7095,4.6475,2.85K,-0.42%
2021년 05월 31일,4.681,4.693,4.7047,4.6525,-,-0.27%
2021년 05월 30일,4.6937,4.6723,4.695,4.6697,-,0.16%
2021년 05월 28일,4.686,4.6845,4.7,4.6045,3.17K,0.30%
2021년 05월 27일,4.672,4.533,4.684,4.516,2.60K,2.94%
2021년 05월 26일,4.5385,4.524,4.554,4.506,2.58K,0.50%
2021년 05월 25일,4.516,4.541,4.582,4.5005,2.09K,-0.43%
2021년 05월 24일,4.5355,4.487,4.5495,4.455,1.70K,1.00%
2021년 05월 21일,4.4905,4.5435,4.565,4.4785,2.54K,-1.87%
2021년 05월 20일,4.576,4.583,4.628,4.5385,2.80K,-0.14%
2021년 05월 19일,4.5825,4.714,4.729,4.538,5.71K,-3.12%
2021년 05월 18일,4.73,4.731,4.78,4.71,2.70K,0.28%
2021년 05월 17일,4.717,4.6755,4.724,4.651,3.16K,1.23%
2021년 05월 14일,4.6595,4.6855,4.7105,4.61,7.86K,-0.65%
2021년 05월 13일,4.69,4.723,4.7595,4.6455,4.13K,-0.91%
2021년 05월 12일,4.733,4.784,4.82,4.71,4.22K,-0.56%
2021년 05월 11일,4.7595,4.68,4.797,4.662,4.72K,1.06%
2021년 05월 10일,4.7095,4.7535,4.8705,4.681,6.28K,-0.57%
2021년 05월 07일,4.7365,4.595,4.7375,4.584,5.83K,3.20%
2021년 05월 06일,4.5895,4.5115,4.5975,4.5105,3.26K,1.68%
2021년 05월 05일,4.5135,4.54,4.555,4.495,3.67K,0.09%
2021년 05월 04일,4.5095,4.518,4.5465,4.4845,2.75K,-0.19%
2021년 05월 03일,4.518,4.47,4.524,4.432,1.95K,1.30%
2021년 04월 30일,4.46,4.4695,4.52,4.442,1.94K,-0.38%
2021년 04월 29일,4.477,4.4905,4.535,4.455,2.09K,-0.21%
2021년 04월 28일,4.4865,4.474,4.5075,4.414,2.32K,0.17%
2021년 04월 27일,4.479,4.4405,4.515,4.44,2.45K,0.97%
2021년 04월 26일,4.436,4.334,4.444,4.334,3.76K,2.33%
2021년 04월 23일,4.335,4.27,4.342,4.2685,3.85K,1.36%
2021년 04월 22일,4.277,4.289,4.294,4.2505,1.10K,-0.16%
2021년 04월 21일,4.284,4.2115,4.293,4.2115,2.39K,1.55%
2021년 04월 20일,4.2185,4.241,4.3,4.208,1.77K,-0.54%
2021년 04월 19일,4.2415,4.1675,4.2765,4.158,2.74K,1.78%
2021년 04월 16일,4.1675,4.2335,4.2335,4.1615,2.71K,-1.16%
2021년 04월 15일,4.2165,4.1115,4.226,4.109,3.83K,2.17%
2021년 04월 14일,4.127,4.0515,4.1305,4.039,3.74K,2.19%
2021년 04월 13일,4.0385,4.027,4.0525,4.0115,3.25K,0.32%
2021년 04월 12일,4.0255,4.037,4.037,4,3.20K,-0.45%
2021년 04월 09일,4.0435,4.0825,4.0825,4.039,3.61K,-1.22%
2021년 04월 08일,4.0935,4.051,4.095,4.051,3.68K,1.05%
2021년 04월 07일,4.051,4.0845,4.0845,4.0385,1.25K,-1.38%
2021년 04월 06일,4.1075,4.131,4.131,4.0645,1.37K,-0.64%
2021년 04월 05일,4.134,4.0155,4.154,4.0155,1.20K,3.62%
2021년 04월 01일,3.9895,3.9885,4.008,3.9455,73.10K,-0.13%
2021년 03월 31일,3.9945,3.966,4.01,3.9635,1.24K,0.48%
2021년 03월 30일,3.9755,4.0365,4.0365,3.964,1.32K,-1.35%
2021년 03월 29일,4.03,4.071,4.071,4.008,0.67K,-0.74%
2021년 03월 26일,4.06,3.9895,4.0645,3.9895,0.69K,2.24%
2021년 03월 25일,3.971,4.031,4.031,3.946,1.67K,-2.17%
2021년 03월 24일,4.059,4.0435,4.091,4.0235,1.07K,-0.28%
2021년 03월 23일,4.0705,4.139,4.1445,4.0075,1.00K,-1.40%
2021년 03월 22일,4.1285,4.0805,4.132,4.075,1.49K,0.74%
2021년 03월 19일,4.098,4.0535,4.103,4.0095,0.44K,0.06%
2021년 03월 18일,4.0955,4.13,4.13,4.042,0.80K,-0.30%
2021년 03월 17일,4.108,4.047,4.145,4.047,0.82K,1.16%
2021년 03월 16일,4.061,4.119,4.119,4.0455,0.75K,-1.56%
2021년 03월 15일,4.1255,4.1675,4.1675,4.1075,0.58K,0.02%
2021년 03월 12일,4.1245,4.102,4.1335,4.0575,0.88K,-0.01%
2021년 03월 11일,4.125,4.02,4.132,4.0185,2.88K,2.74%
2021년 03월 10일,4.015,4.0015,4.035,3.974,1.30K,0.63%
2021년 03월 09일,3.99,4.068,4.0795,3.9595,1.46K,-2.00%
2021년 03월 08일,4.0715,4.1165,4.1365,3.99,1.52K,0.35%
2021년 03월 05일,4.0575,3.8945,4.09,3.8945,2.02K,2.44%
2021년 03월 04일,3.961,4.08,4.116,3.8355,3.13K,-3.85%
2021년 03월 03일,4.1195,4.1595,4.1755,4.09,1.82K,-1.67%
2021년 03월 02일,4.1895,4.0905,4.1925,4.0265,1.54K,2.30%
2021년 03월 01일,4.0955,4.0605,4.14,4.0605,2.24K,0.64%
2021년 02월 26일,4.0695,4.1705,4.218,4.057,1.69K,-3.78%
2021년 02월 25일,4.2295,4.29,4.338,4.171,1.12K,-0.96%
2021년 02월 24일,4.2705,4.179,4.2945,4.12,1.55K,2.72%
2021년 02월 23일,4.1575,4.1355,4.195,4.071,1.55K,0.95%
2021년 02월 22일,4.1185,4.069,4.179,4.0485,1.26K,1.89%
2021년 02월 19일,4.042,3.863,4.055,3.86,1.67K,4.36%
