날짜,종가,오픈,고가,저가,거래량,변동 %
2021년 03월 04일,"2,831.60","2,947.90","2,980.10","2,793.80",-,-4.84%
2021년 03월 03일,"2,975.60","3,068.20","3,079.90","2,972.90",-,-3.11%
2021년 03월 02일,"3,070.90","3,165.40","3,166.60","3,068.30",-,-3.10%
2021년 03월 01일,"3,169.10","3,118.40","3,172.40","3,093.60",-,3.31%
2021년 02월 26일,"3,067.60","3,041.80","3,096.90","2,991.10",-,2.28%
2021년 02월 25일,"2,999.20","3,142.90","3,163.50","2,988.40",-,-5.80%
2021년 02월 24일,"3,183.70","3,063.20","3,186.10","3,037.10",-,3.24%
2021년 02월 23일,"3,083.90","3,041.90","3,105.00","2,960.40",-,-0.58%
2021년 02월 22일,"3,102.00","3,181.30","3,202.60","3,093.60",-,-3.77%
2021년 02월 19일,"3,223.50","3,195.10","3,241.70","3,188.10",-,2.44%
2021년 02월 18일,"3,146.80","3,142.20","3,160.00","3,108.50",-,-0.99%
2021년 02월 17일,"3,178.20","3,197.30","3,216.40","3,138.10",-,-1.87%
2021년 02월 16일,"3,238.90","3,250.60","3,269.00","3,222.40",-,0.59%
2021년 02월 12일,"3,219.90","3,172.20","3,226.10","3,155.60",-,1.23%
2021년 02월 11일,"3,180.80","3,107.20","3,182.60","3,106.10",-,3.45%
2021년 02월 10일,"3,074.90","3,096.00","3,108.90","3,035.00",-,0.32%
2021년 02월 09일,"3,064.90","3,070.80","3,089.40","3,053.60",-,-0.44%
2021년 02월 08일,"3,078.50","3,013.10","3,079.30","3,010.70",-,3.13%
2021년 02월 05일,"2,985.00","3,028.00","3,029.50","2,982.70",-,-0.78%
2021년 02월 04일,"3,008.40","2,966.50","3,010.50","2,951.90",-,0.86%
2021년 02월 03일,"2,982.90","3,057.60","3,063.30","2,982.50",-,-2.12%
2021년 02월 02일,"3,047.30","3,047.40","3,049.30","3,005.10",-,1.58%
2021년 02월 01일,"3,000.00","2,938.70","3,006.70","2,924.70",-,3.91%
2021년 01월 29일,"2,887.10","2,940.80","2,954.70","2,875.10",-,-1.64%
2021년 01월 28일,"2,935.10","2,933.10","2,977.50","2,909.10",-,2.09%
2021년 01월 27일,"2,875.10","2,941.60","2,961.60","2,862.20",-,-5.17%
2021년 01월 26일,"3,031.80","3,078.10","3,079.40","3,030.00",-,-1.54%
2021년 01월 25일,"3,079.20","3,102.90","3,107.80","3,023.60",-,0.16%
2021년 01월 22일,"3,074.40","3,098.40","3,116.20","3,073.90",-,-1.84%
2021년 01월 21일,"3,132.20","3,110.80","3,141.00","3,081.90",-,1.53%
2021년 01월 20일,"3,085.00","3,124.00","3,138.60","3,077.30",-,-0.27%
2021년 01월 19일,"3,093.30","3,041.90","3,097.50","3,035.00",-,3.36%
2021년 01월 15일,"2,992.80","3,043.40","3,043.40","2,976.00",-,-2.06%
