날짜,종가,오픈,고가,저가,거래량,변동 %
2019년 02월 25일,"1,389.00","1,389.00","1,389.00","1,389.00",0.00K,-0.25%
2019년 02월 22일,"1,392.50","1,392.50","1,392.50","1,392.50",0.02K,0.38%
2019년 02월 21일,"1,387.20","1,388.00","1,388.00","1,388.00",0.03K,-1.39%
2019년 02월 20일,"1,406.70","1,406.70","1,406.70","1,406.70",0.15K,0.20%
2019년 02월 19일,"1,403.90","1,403.90","1,403.90","1,403.90",0.04K,5.59%
2019년 02월 18일,"1,329.55","1,324.35","1,330.75","1,324.05",-,0.40%
2019년 02월 17일,"1,324.25","1,324.65","1,324.95","1,323.85",-,-4.12%
2019년 02월 15일,"1,381.20","1,381.20","1,381.20","1,381.20",0.03K,0.58%
2019년 02월 14일,"1,373.20","1,373.20","1,373.20","1,373.20",0.07K,-0.10%
2019년 02월 13일,"1,374.60","1,374.60","1,374.60","1,374.60",0.05K,0.10%
2019년 02월 12일,"1,373.20","1,373.20","1,373.20","1,373.20",0.00K,0.15%
2019년 02월 11일,"1,371.20","1,371.20","1,371.20","1,371.20",0.03K,-0.48%
2019년 02월 08일,"1,377.80","1,377.80","1,377.80","1,377.80",0.05K,0.31%
2019년 02월 07일,"1,373.60","1,373.60","1,373.60","1,373.60",0.00K,-0.01%
2019년 02월 06일,"1,373.80","1,373.80","1,373.80","1,373.80",0.00K,-0.35%
2019년 02월 05일,"1,378.60","1,378.60","1,378.60","1,378.60",0.04K,0.02%
2019년 02월 04일,"1,378.30","1,378.30","1,378.30","1,378.30",0.00K,-0.20%
2019년 02월 01일,"1,381.10","1,382.60","1,382.60","1,382.60",0.01K,-0.21%
2019년 01월 31일,"1,384.00","1,384.00","1,384.00","1,384.00",0.08K,0.59%
2019년 01월 30일,"1,375.90","1,377.60","1,377.60","1,377.60",0.06K,0.02%
2019년 01월 29일,"1,375.60","1,375.60","1,375.60","1,375.60",0.20K,0.42%
2019년 01월 28일,"1,369.80","1,369.80","1,369.80","1,369.80",0.00K,0.43%
2019년 01월 25일,"1,364.00","1,360.00","1,360.00","1,360.00",0.01K,1.42%
2019년 01월 24일,"1,344.90","1,344.90","1,344.90","1,344.90",0.05K,-0.33%
2019년 01월 23일,"1,349.30","1,349.30","1,349.30","1,349.30",0.02K,0.07%
2019년 01월 22일,"1,348.40","1,348.40","1,348.40","1,348.40",0.15K,5.42%
2019년 01월 21일,"1,279.05","1,281.95","1,282.95","1,276.15",-,-0.23%
2019년 01월 20일,"1,282.05","1,281.30","1,282.70","1,280.50",-,-4.90%
2019년 01월 18일,"1,348.10","1,348.10","1,348.10","1,348.10",0.00K,-0.72%
2019년 01월 17일,"1,357.90","1,357.90","1,357.90","1,357.90",0.03K,-0.10%
2019년 01월 16일,"1,359.30","1,359.30","1,359.30","1,359.30",0.00K,0.41%
2019년 01월 15일,"1,353.70","1,353.70","1,353.70","1,353.70",0.01K,-0.26%
2019년 01월 14일,"1,357.20","1,357.20","1,357.20","1,357.20",0.40K,0.13%
2019년 01월 11일,"1,355.40","1,355.40","1,355.40","1,355.40",0.05K,0.18%
2019년 01월 10일,"1,353.00","1,353.00","1,353.00","1,353.00",0.55K,-0.32%
2019년 01월 09일,"1,357.30","1,357.30","1,357.30","1,357.30",0.10K,0.46%
2019년 01월 08일,"1,351.10","1,351.10","1,351.10","1,351.10",0.00K,-0.30%
2019년 01월 07일,"1,355.20","1,355.20","1,355.20","1,355.20",0.01K,0.31%
2019년 01월 04일,"1,351.00","1,351.80","1,351.80","1,351.80",0.00K,-0.65%
2019년 01월 03일,"1,359.80","1,359.80","1,359.80","1,359.80",0.01K,0.76%
2019년 01월 02일,"1,349.50","1,349.50","1,349.50","1,349.50",0.10K,5.15%
2019년 01월 01일,"1,283.35","1,284.70","1,284.75","1,282.85",-,-4.73%
