날짜,종가,오픈,고가,저가,거래량,변동 %
2021년 01월 25일,"3,624.24","3,605.36","3,637.10","3,591.02",32.73B,0.48%
2021년 01월 22일,"3,606.75","3,616.54","3,616.54","3,585.03",32.45B,-0.40%
2021년 01월 21일,"3,621.26","3,590.92","3,636.24","3,585.80",32.75B,1.07%
2021년 01월 20일,"3,583.09","3,564.12","3,589.96","3,556.44",27.23B,0.47%
2021년 01월 19일,"3,566.38","3,596.36","3,603.15","3,553.02",32.34B,-0.83%
2021년 01월 18일,"3,596.22","3,554.80","3,608.77","3,544.26",30.17B,0.84%
2021년 01월 15일,"3,566.38","3,566.28","3,589.27","3,533.79",32.46B,0.01%
2021년 01월 14일,"3,565.90","3,584.93","3,599.06","3,559.60",34.77B,-0.91%
2021년 01월 13일,"3,598.65","3,613.28","3,622.35","3,575.59",38.81B,-0.27%
2021년 01월 12일,"3,608.34","3,518.01","3,608.34","3,517.47",32.34B,2.18%
2021년 01월 11일,"3,531.50","3,571.32","3,597.70","3,516.99",36.25B,-1.08%
2021년 01월 08일,"3,570.11","3,577.69","3,588.06","3,544.89",34.56B,-0.17%
2021년 01월 07일,"3,576.20","3,552.91","3,576.20","3,526.62",40.53B,0.71%
2021년 01월 06일,"3,550.88","3,530.91","3,556.80","3,513.13",37.02B,0.63%
2021년 01월 05일,"3,528.68","3,492.19","3,528.68","3,484.72",40.80B,0.73%
2021년 01월 04일,"3,502.96","3,474.68","3,511.66","3,457.21",38.08B,0.86%
2020년 12월 31일,"3,473.07","3,419.73","3,474.92","3,419.73",33.57B,1.72%
2020년 12월 30일,"3,414.45","3,375.01","3,414.45","3,374.42",29.10B,1.05%
2020년 12월 29일,"3,379.04","3,399.29","3,407.09","3,376.09",31.18B,-0.54%
2020년 12월 28일,"3,397.29","3,396.36","3,412.52","3,383.65",31.62B,0.02%
2020년 12월 25일,"3,396.56","3,351.79","3,397.01","3,348.35",29.45B,0.99%
2020년 12월 24일,"3,363.11","3,382.19","3,394.07","3,354.02",27.50B,-0.57%
2020년 12월 23일,"3,382.32","3,362.47","3,394.21","3,360.20",29.95B,0.76%
2020년 12월 22일,"3,356.78","3,410.97","3,415.75","3,353.86",32.30B,-1.86%
2020년 12월 21일,"3,420.57","3,394.39","3,423.61","3,381.12",28.38B,0.76%
2020년 12월 18일,"3,394.90","3,400.49","3,413.81","3,382.75",28.10B,-0.29%
2020년 12월 17일,"3,404.87","3,367.28","3,406.15","3,354.01",27.55B,1.13%
2020년 12월 16일,"3,366.98","3,371.26","3,378.66","3,359.17",22.08B,-0.01%
2020년 12월 15일,"3,367.23","3,366.58","3,373.56","3,348.42",22.57B,-0.06%
2020년 12월 14일,"3,369.12","3,349.53","3,371.13","3,338.63",23.98B,0.66%
2020년 12월 11일,"3,347.19","3,381.01","3,383.18","3,325.17",29.86B,-0.77%
2020년 12월 10일,"3,373.28","3,365.73","3,384.89","3,357.75",24.73B,0.04%
2020년 12월 09일,"3,371.96","3,416.08","3,422.54","3,371.92",26.07B,-1.12%
2020년 12월 08일,"3,410.18","3,417.69","3,428.66","3,403.03",22.69B,-0.19%
2020년 12월 07일,"3,416.60","3,446.65","3,449.58","3,414.31",25.45B,-0.81%
2020년 12월 04일,"3,444.58","3,436.73","3,448.40","3,417.05",25.63B,0.07%
2020년 12월 03일,"3,442.14","3,448.54","3,452.16","3,428.80",29.85B,-0.21%
2020년 12월 02일,"3,449.38","3,453.52","3,465.73","3,435.87",31.28B,-0.07%
2020년 12월 01일,"3,451.94","3,388.99","3,457.64","3,386.91",31.62B,1.77%
2020년 11월 30일,"3,391.76","3,418.16","3,456.74","3,391.76",38.50B,-0.49%
2020년 11월 27일,"3,408.31","3,373.84","3,408.31","3,364.49",28.06B,1.14%
2020년 11월 26일,"3,369.73","3,360.06","3,371.45","3,344.28",25.59B,0.22%
2020년 11월 25일,"3,362.33","3,417.51","3,423.49","3,362.33",32.21B,-1.19%
2020년 11월 24일,"3,402.82","3,407.41","3,413.93","3,396.24",30.10B,-0.34%
2020년 11월 23일,"3,414.49","3,384.10","3,431.65","3,377.99",37.39B,1.09%
2020년 11월 20일,"3,377.73","3,359.60","3,380.15","3,356.31",26.13B,0.44%
2020년 11월 19일,"3,363.09","3,339.09","3,367.33","3,330.45",25.33B,0.47%
