날짜,종가,오픈,고가,저가,거래량,변동 %
2019년 06월 13일,442,429.75,442.75,429.5,402.15K,2.79%
2019년 06월 12일,430,427.75,434.5,424,331.36K,0.53%
2019년 06월 11일,427.75,415,430.25,408.25,360.32K,2.89%
2019년 06월 10일,415.75,413,416.5,409,279.95K,0.00%
2019년 06월 07일,415.75,421,423.5,415,227.75K,-1.13%
2019년 06월 06일,420.5,414.5,421.5,407,279.01K,1.39%
2019년 06월 05일,414.75,424.25,424.75,412.25,231.86K,-2.47%
2019년 06월 04일,425.25,435,436,421.25,306.70K,0.24%
2019년 06월 03일,424.25,426.25,430.75,418.25,288.44K,-0.64%
2019년 05월 31일,427,435,437.5,423.25,302.17K,-2.12%
2019년 05월 30일,436.25,416.5,436.75,413.25,324.91K,4.18%
2019년 05월 29일,418.75,429.25,438,412.25,484.44K,-0.36%
2019년 05월 28일,420.25,408,421,407.5,417.68K,3.96%
2019년 05월 24일,404.25,390.5,404.75,389.75,299.95K,3.72%
2019년 05월 23일,389.75,394,399,387,340.12K,-1.20%
2019년 05월 22일,394.5,393.25,396.5,386.25,291.26K,0.06%
2019년 05월 21일,394.25,393.25,399,391.25,451.26K,1.35%
2019년 05월 20일,389,386,391.5,385.75,358.73K,1.50%
2019년 05월 17일,383.25,380,384.75,380,319.50K,1.12%
2019년 05월 16일,379,368.75,380.75,368.75,248.51K,2.57%
2019년 05월 15일,369.5,369,380,368,336.99K,2.50%
2019년 05월 14일,360.5,354.25,360.75,353.5,0.20K,3.74%
2019년 05월 13일,347.5,335.5,348.25,335.5,0.29K,1.46%
2019년 05월 10일,342.5,346.5,346.5,338.25,0.31K,-0.58%
2019년 05월 09일,344.5,350,350,344,0.66K,-3.03%
2019년 05월 08일,355.25,356.5,356.5,353.25,0.86K,-0.77%
2019년 05월 07일,358,357,359.25,355,1.16K,0.63%
2019년 05월 06일,355.75,352.5,356,349,1.71K,-2.00%
2019년 05월 03일,363,362.25,363.25,359.5,1.65K,0.28%
2019년 05월 02일,362,361,362.5,358.5,4.31K,0.56%
2019년 05월 01일,360,353.5,360.5,353.5,8.29K,1.91%
2019년 04월 30일,353.25,352.25,354,349.25,14.38K,0.36%
2019년 04월 29일,352,353.25,356,351.25,250.77K,0.21%
2019년 04월 26일,351.25,347.25,353.5,347,166.75K,1.08%
2019년 04월 25일,347.5,346,351,342.25,236.88K,0.22%
2019년 04월 24일,346.75,351,352.5,345.5,241.39K,-1.28%
2019년 04월 23일,351.25,354.75,355,350.25,194.77K,-0.99%
2019년 04월 22일,354.75,359,359,354.25,144.71K,-1.05%
2019년 04월 19일,358.5,358.5,358.5,358.5,-,0.00%
