회사명,거래소코드,회계년도,매출액증가율(IFRS),순이익증가율(IFRS),매출액정상영업이익률(IFRS),자기자본순이익률(IFRS),총자본순이익률(IFRS),부채비율(IFRS),차입금의존도(IFRS),자본금(*)(IFRS),* (정상)영업손익(보고서기재)(IFRS),당기순이익(손실)(IFRS),상장일
(주)국보,1140,2018,-2.53,0,-0.93,-8.98,-2,388.79,39.86,8411520,-322227,-1449068,1989-12-02
(주)국보,1140,2019,-12.67,0,-9.29,-81.59,-15.22,508.95,44.41,8411520,-2820452,-9481173,1989-12-02
(주)국보,1140,2020,-10.72,0,-17.54,-45.61,-13.74,140.49,34.23,22298169,-4754221,-8388673,1989-12-02
(주)국보,1140,2021,-1.23,0,-15.43,-18.24,-8.18,110.97,29.8,30532771,-4130345,-6161904,1989-12-02
(주)국보디자인,66620,2018,-10.25,31.2,8.67,9,5.23,66.98,0,3750000,9905819,8498115,2002-09-05
(주)국보디자인,66620,2019,-22.89,-47.78,5.52,4.26,2.66,54.28,0.4,3750000,4860293,4437826,2002-09-05
(주)국보디자인,66620,2020,41.32,112.55,7.72,8.41,5.29,63.42,0.23,3750000,9615204,9432581,2002-09-05
(주)국보디자인,66620,2021,15.78,2.51,8.82,7.08,4.39,59.58,0.09,3750000,12720115,9668951,2002-09-05
(주)국순당,43650,2018,-14.95,0,-5.82,6.38,5.86,8.45,0,8929152,-1509114,12236721,2000-08-24
(주)국순당,43650,2019,-3.29,-98.05,-9.1,0.12,0.11,7.29,0.07,8929152,-2281231,239114,2000-08-24
(주)국순당,43650,2020,-6.28,1508.18,7.25,1.96,1.84,6.1,0.18,8929152,1702660,3845392,2000-08-24
(주)국순당,43650,2021,22.31,118.26,14.59,4.08,3.82,7.22,0,8929152,4192399,8393127,2000-08-24
(주)국영지앤엠,6050,2018,6.79,0,-0.92,-0.21,-0.17,17.64,2.78,17447622,-282888,-107938,1994-10-07
(주)국영지앤엠,6050,2019,-3.94,0,-0.03,0.27,0.23,18.4,1.37,17447622,-8085,142141,1994-10-07
(주)국영지앤엠,6050,2020,10.01,-25.6,0.06,0.2,0.16,29.57,10.47,17447622,20793,105756,1994-10-07
(주)국영지앤엠,6050,2021,-6.51,0,-1.7,-0.9,-0.69,32.69,12.6,17447622,-517592,-463191,1994-10-07
(주)국전약품,307750,2019,,,,,,,,501000,,-15869,2018-12-19
(주)국전약품,307750,2020,0,0,0,-0.42,-0.39,8.44,,501000,,-40165,2018-12-19
(주)국전약품,307750,2021,0,0,9.8,3.56,2.73,30.37,12.08,4906927,3900820,2901193,2018-12-19
(주)그리티,204020,2019,,,,,,,,5456992,2249019,1916594,2018-07-23
(주)그리티,204020,2020,0,0,3.45,2.34,1.97,18.38,3.04,10493849,2323954,1726858,2018-07-23
(주)그리티,204020,2021,-23.2,0,-3.69,-2.62,-2.22,17.12,3.11,10493849,-1909670,-1937664,2018-07-23
(주)글로벌스탠다드테크놀로지,83450,2018,-19.89,-24.83,8.2,8.76,6.31,27.51,2.23,4658873,5426005,5755207,2006-02-01
(주)글로벌스탠다드테크놀로지,83450,2019,-21.63,-6.06,10.25,7.27,5.82,22.41,2.38,4658873,5314693,5406533,2006-02-01
(주)글로벌스탠다드테크놀로지,83450,2020,67.38,130.31,15.67,13.97,11.3,24.62,0.98,4658873,13606060,12451999,2006-02-01
(주)글로벌스탠다드테크놀로지,83450,2021,59.87,39.86,15.29,16.31,12.4,37.58,0.81,4658873,21229066,17415858,2006-02-01
(주)금비,8870,2019,-0.46,-30.49,2.76,2.56,1.42,78.18,26.62,5000000,1228910,2146752,1990-06-08
(주)금비,8870,2020,-11.31,-92.57,-1.58,0.19,0.11,83.67,27.71,5000000,-625074,159533,1990-06-08
(주)금비,8870,2021,4.19,1982.56,7.83,3.95,2.14,85.96,26.8,5000000,3227806,3322379,1990-06-08
