ticker,company_name,listingdate,fiscal_year,market_cap,sales_growth_rate,net_profit_growth_rate,operating_profit_rate,roe,roa,debt_ratio,20_06_close_price,20_06_rate_of_return,20_09_close_price,20_09_rate_of_return,20_12_close_price,20_12_rate_of_return,21_03_close_price,21_03_rate_of_return,21_06_close_price,PER,PER_cal,PBR,PCR,PSR,DYR
37950,엘컴텍(주),2000-08-24,2021,1.30894E+11,21.61,0,2.87,1.72,1.5,14.89,1795,-0.136490251,1570,-0.012738854,1505,2.990033223,1365,13.55311355,1550,0,137.2093023,2.36,92.38,3.62,0
143540,(주)영우디에스피,2014-10-29,2021,1.30562E+11,39.91,-43.25,11.51,12.7,6.5,42.61,1298.792784,1.325236202,1463.317794,1.063803236,2262.233725,33.49637423,2230,35.42600897,3020,19.44,20.78740157,2.64,12.23,1.27,0
440,(주)중앙에너비스,1993-03-24,2021,1.30458E+11,1.21,-93.12,-0.38,0.02,0.02,7.46,8800,1.380681818,7520,1.785904255,9260,126.2419006,9970,110.1303912,20950,6.8,10600,2.12,52.5,2.44,2.29
303030,(주)지니틱스,2018-08-30,2021,1.30439E+11,8.92,52.12,8.35,4.79,3.65,29.94,2737.371456,0.338875655,2505,0.463073852,2495,46.89378758,3700,-0.945945946,3665,0,90.18789144,4.32,55.04,3.23,0
39020,(주)이건홀딩스,2000-05-04,2021,1.30088E+11,168.52,0,75.72,4.39,3.7,18.48,2870,1.006968641,2495,1.308617234,2935,96.25212947,3570,61.34453782,5760,0,19.81776765,0.87,91.45,18.64,1.22
14970,삼륭물산(주),1992-12-29,2021,1.30075E+11,-14.82,-87.77,2.71,0.36,0.25,44.49,7790,0.103979461,9100,-0.054945055,9990,-13.91391391,8010,7.365792759,8600,45.45,572.2222222,2.06,203.64,3.35,0.87
5750,대림비앤코(주),1992-12-23,2021,1.30043E+11,12.64,0,1.97,1.26,0.61,106.81,4590,0.699346405,4970,0.569416499,6370,22.44897959,6500,20,7800,0,65.07936508,0.82,4.88,0.56,1.67
39290,인포뱅크(주),2006-07-04,2021,1.2954E+11,24.01,344.45,2.55,2.72,2.06,33.52,6350,1.346456693,9380,0.588486141,11150,33.632287,11650,27.89699571,14900,108.03,91.91176471,2.5,25.79,1.64,0.07
23960,에쓰씨엔지니어링(주),1997-06-23,2021,1.29017E+11,-78.91,0,-20.94,-5,-1.8,172.87,1084.637429,3.125802671,1158.392774,2.863111115,5553.343635,-19.41791659,4567.38309,-2.022670044,4475,0,-113.8,5.69,6.05,1.54,0
22220,(주)정산애강,2006-04-11,2021,1.2871E+11,9.64,11.46,10.39,2.47,2.17,16.01,1635,0.519877676,1825,0.361643836,1835,35.42234332,2135,16.39344262,2485,51.26,60.72874494,1.5,11.86,2.18,0
17650,(주)대림제지,1994-11-07,2021,1.287E+11,47.59,76.95,17.85,6.84,5.18,28.34,8000,0.7875,6970,1.051649928,9450,51.32275132,13600,5.147058824,14300,9.84,10.23391813,0.7,4.47,1,0.52
4770,써니전자(주),1987-04-22,2021,1.28578E+11,-5.2,-21.14,10.46,3.05,2.97,2.73,2985,0.236180905,4685,-0.212379936,5090,-27.50491159,3450,6.956521739,3690,24.22,66.55737705,2.03,42.35,8.08,0
27970,세하(주),1996-07-03,2021,1.28365E+11,2.81,-15.49,8.88,9.1,3.27,107.83,911.598117,1.446253407,1640,0.359756098,1800,23.88888889,1940,14.94845361,2230,9.66,16.04395604,1.46,4.18,0.68,0
1620,케이비아이동국실업(주),1990-09-15,2021,1.2821E+11,29.52,0,0.57,3.27,1.41,109.77,386.9328314,2.799108994,467.1967847,2.146425763,525.5017319,179.7326651,709.5030588,107.1872674,1470,157.03,19.26605505,0.63,6.52,0.31,0
78140,대봉엘에스(주),2005-12-23,2021,1.2805E+11,-5.05,18.25,4.22,2.14,1.76,19.49,10200,0.132352941,10750,0.074418605,11100,4.054054054,10100,14.35643564,11550,9.65,81.30841121,1.74,17.98,2.09,0.43
293580,나우아이비캐피탈(주),2018-10-04,2021,1.27853E+11,44.43,83.31,61.83,6.48,6.04,11.54,6157.001149,1.16826336,6166.899864,1.164783002,7186.467579,85.76581407,10542.13219,26.63472396,13350,16.59,25.46296296,1.65,46.23,7.47,1.12
78650,지나인제약(주),2010-10-22,2021,1.27417E+11,-23.93,0,-65.85,-103.27,-32.9,709.2,689.7631437,1.653084637,598.0086046,2.060156636,995.5967103,83.80936589,1139.240017,60.63340236,1830,0,-5.22901133,5.4,0,3.01,0
10470,(주)오리콤,2000-10-24,2021,1.27334E+11,3.23,0,3.53,1.28,0.73,83.36,4120.361543,1.608994353,4219.171173,1.547893783,5430,97.97421731,5880,82.82312925,10750,158.09,144.53125,1.85,0,1.53,2.05
44060,조광아이엘아이(주),2001-01-18,2021,1.27144E+11,-8.64,-94.99,13.07,0.16,0.11,47.04,4246.323508,1.213679665,4560.595299,1.061134432,8745.747293,7.480809641,9011.155004,4.315151558,9400,0,975,1.56,57.95,3.47,0
200470,(주)에이팩트,2014-12-26,2021,1.27089E+11,-11.42,0,7.74,-0.49,-0.25,89.06,6300,0.149206349,6570,0.101978691,7230,0.138312586,6480,11.72839506,7240,19.08,-385.7142857,1.89,6.17,2.56,0
38680,에스넷시스템(주),2000-04-27,2021,1.26994E+11,6.91,0,-6.76,-13.77,-5.93,181.88,6020,0.312292359,6880,0.148255814,7000,12.85714286,7530,4.913678619,7900,31.73,-15.10530138,2.08,0,0.63,1.01
1550,(주)조비,1976-12-28,2021,1.2695E+11,3.66,-15.91,7.29,6.69,3.07,113.52,15700,0.557324841,21550,0.134570766,18900,29.36507937,21200,15.33018868,24450,42.25,37.07025411,2.48,15.5,1.72,0
910,(주)유니온,1996-07-03,2021,1.2661E+11,-0.21,0,3.44,11.92,6.99,61.22,5480,0.479927007,7730,0.04915912,5950,36.30252101,8780,-7.630979499,8110,5.41,8.976510067,1.07,11.27,1.32,1.54
