회사명,거래소코드,회계년도,매출액증가율(IFRS),순이익증가율(IFRS),매출액정상영업이익률(IFRS),자기자본순이익률(IFRS),총자본순이익률(IFRS),부채비율(IFRS),차입금의존도(IFRS),자본(*)(IFRS),* (정상)영업손익(보고서기재)(IFRS),당기순이익(손실)(IFRS),상장일,보통주자본금(IFRS),우선주자본금(IFRS)
에스씨엠생명과학(주),298060,2021/06,0,0,-3571.71,-18.24,-14.96,21.9,9.67,55158796,-7277149,-10058693,2020/06/17,5971059,0
에스엔유프리시젼(주),080000,2020/06,14.87,55.44,12.14,4.44,3.47,31.22,0.02,120617315,4188919,5152077,2005/01/25,17161435,0
에스엔유프리시젼(주),080000,2021/06,4.75,-60.31,1.65,1.68,1.18,53.16,0.03,122408759,597599,2044839,2005/01/25,17161435,0
에스엔유프리시젼(주),080000,2019/06,-34.24,-41.92,12.94,3.24,2.39,24.47,8.2,111243806,3889230,3314530,2005/01/25,17161435,0
에스엔유프리시젼(주),080000,2018/06,-11.75,0,12.15,6.25,4.09,48.7,17.36,93632912,5552990,5706630,2005/01/25,15625000,0
에스엔케이폴리텍(주),091340,2018/06,-2.57,477.14,3.72,5.01,3.12,50.64,26.39,62687339,458300,2938060,2007/07/30,5851861,0
에스엔케이폴리텍(주),091340,2021/06,41.68,344.8,7.79,3.36,2.12,59.95,29.79,56515230,986830,1954186,2007/07/30,5851861,0
에스엔케이폴리텍(주),091340,2020/06,-14.38,-25.26,-7.33,0.73,0.47,58.05,30.28,59643910,-655520,439344,2007/07/30,5851861,0
에스엔케이폴리텍(주),091340,2019/06,-15.29,-79.99,-2.49,0.95,0.63,51.42,26.79,60597006,-259568,587845,2007/07/30,5851861,0
에스엘(주),005850,2020/06,23.5,-7.68,5.6,4.09,3.06,33.3,0.01,1183378140,42027244,46958423,1988/11/08,24101639,0
에스엘(주),005850,2021/06,31.24,110.5,8.8,7.91,6.03,29.07,0,1317308726,86714979,98847221,1988/11/08,24101639,0
에스엘(주),005850,2019/06,83.25,169.71,4.78,5.45,4.19,34.65,0.03,1110225623,29091979,50865172,1988/11/08,24101639,0
에스엘(주),005850,2018/06,-7.14,-84.34,-0.63,2.52,2.03,23.16,0.01,755259117,-2085724,18859349,1988/11/08,16932545,0
에스와이(주),109610,2019/06,-21.08,0,-3.03,-7.17,-2.71,179.17,41.11,100611218,-4249493,-7535145,2015/12/29,12474673,0
에스와이(주),109610,2018/06,78.18,2965.8,1.36,2.69,1.17,150.27,36.32,109571167,2418457,2866615,2015/12/29,12474664,0
에스와이(주),109610,2020/06,-20.1,0,-1.31,-4.88,-1.73,185.59,44.16,95681700,-1461445,-4791523,2015/12/29,12515741,0
에스와이(주),109610,2021/06,16.32,0,4.76,4.62,2.04,87.36,26.61,142841580,6200153,5509193,2015/12/29,23434541,0
에스지씨에너지(주),005090,2021/06,38.54,179.23,15.58,4.21,1.48,198.41,57.55,543742534,30070575,15292544,1993/01/06,73385020,0
에스지씨에너지(주),005090,2020/06,-19.98,0,2.23,2.97,1.08,142.08,42.98,182319986,3112488,5476644,1993/01/06,24272090,0
에스지씨에너지(주),005090,2018/06,26.41,0,-8.09,-3.48,-1.32,170.77,51.82,213757498,-13976022,-8010914,1993/01/06,24272090,0
에스지씨에너지(주),005090,2019/06,0.74,0,-2.58,-1.24,-0.43,203.99,53.64,186938674,-4493588,-2479307,1993/01/06,24272090,0
에스지씨이테크건설(주),016250,2019/06,65.54,56.34,1.8,8.78,2.65,295.13,22.6,171996768,10927197,15046214,1999/12/28,14000000,0
에스지씨이테크건설(주),016250,2018/06,-7.06,51.18,2.7,5.87,2.17,166.85,18.93,170720906,9913194,9624295,1999/12/28,14000000,0
에스지씨이테크건설(주),016250,2021/06,28.87,113.27,5.41,10.44,3.56,247.83,8.39,175665783,32596633,26335811,1999/12/28,10121235,0
에스지씨이테크건설(주),016250,2020/06,-22.92,-17.93,0.12,4.93,1.59,164.17,15.39,329043308,571104,12348435,1999/12/28,14000000,0
에스지에이(주),049470,2020/06,-16.87,0,-13.35,-4.69,-2.86,69.81,26.62,38410640,-1865731,-1895092,2001/10/11,48362249,0
에스지에이(주),049470,2021/06,73.64,0,2.68,13.92,9.78,21.14,4.67,49777557,649293,6137233,2001/10/11,52412249,0
에스지에이(주),049470,2018/06,23.12,0,4.64,-0.44,-0.29,57.67,19.38,48286144,718166,-225314,2001/10/11,48279469,0
에스지에이(주),049470,2019/06,8.71,0,-5.56,-7.79,-4.93,58.42,20.05,42487694,-935180,-3534242,2001/10/11,48362249,0
에스지에이솔루션즈(주),184230,2019/06,6.14,0,-19.02,-3.51,-2.63,27.52,15.87,48855976,-1301489,-1787529,2013/12/20,3667603,0
에스지에이솔루션즈(주),184230,2018/06,-19.53,0,-31.85,-3.93,-2.77,39.27,21.83,52990694,-2052998,-1929186,2013/12/20,3390510,0
에스지에이솔루션즈(주),184230,2020/06,16.23,0,13.2,-1.64,-1.21,52.33,21.1,26375149,1049618,-617514,2013/12/20,3667603,0
에스지에이솔루션즈(주),184230,2021/06,-6.78,0,7.69,-6.94,-4.62,48.64,18.11,31494473,569797,-2007517,2013/12/20,4291848,0
에스지이(주),255220,2021/06,16.13,0,0.53,-18.32,-5,271.3,46.65,61478375,299750,-11332637,2018/01/26,4079571,0
에스지이(주),255220,2020/06,-10.53,0,3.07,-8.77,-2.42,261.53,50.57,62230120,1500220,-5184381,2018/01/26,3672003,0
에스지이(주),255220,2018/06,,,,,,,,41887036,3195550,2154885,2018/01/26,1250602,0
에스지이(주),255220,2019/06,0,0,3.97,12.34,3.39,264.49,49.03,56000676,2168682,6909455,2018/01/26,1250602,0
에스케이(주),034730,2019/06,31.16,22.45,61.6,8.21,5.18,58.38,26.6,14024564000,1298201000,1095741000,2009/11/11,15272000,113000
에스케이(주),034730,2018/06,-17.68,43.49,54.99,7.15,4.58,58.76,33.23,12674280000,883657000,894839000,2009/11/11,15272000,113000
에스케이(주),034730,2021/06,-29.64,13.8,37.36,7.89,4.89,61.26,31.32,15692600000,510748000,1179225000,2009/11/11,15272000,113000
에스케이(주),034730,2020/06,-7.81,-5.43,56.4,7.34,4.59,61.34,32.35,14213906000,1095954000,1036258000,2009/11/11,15272000,113000
에스케이가스(주),018670,2020/06,-7.19,413.47,5.99,10.69,4.43,140.34,47,1642493612,115093637,166471647,1997/08/27,46151220,0
에스케이가스(주),018670,2021/06,25.39,-24.87,2.98,7.31,2.94,156.05,48.35,1778115945,71700750,125070220,1997/08/27,46151220,0
